stars,review
1.0 out of 5 stars,"









  
  
    
  The features I have on my 2017 unit have changed. There are no longer some channels that were available freely,  now cost.  It seems as though that midstream news or Euro originated TV shows are not available.  This has become the USA  propaganda biased network.  Do not buy unless you are the archetypical braindead citizen.

  
"
5.0 out of 5 stars,"









  
  
    
  Good product. If stick doesn't power up tap the home button.

  
"
5.0 out of 5 stars,"









  
  
    
  First of all, this is the lite.. But let's get real here. Do we actually need seperate buttons for Netflix, Disney or Hulu just to pay more? No. The lite does not have those extra buttons but who cares. It still has Alexa voice and super easy to use.1. It's heavy duty remote yet small. Definitely can with stand a fall but the gorgeous sleek design is perfection.2. No it doesn't have the Netflix button, or a volume button. But since my volume stays at one level all the time that does not bother me at all. Plus I really don't care about 4 extra buttons to press for Netflix, Hulu etc. When I can just tell the remote to open the app for me3. It has games to play with your family for free too. Really fun games especially in the covid times when we're all together so much of the time.4. Picture and volume are beautiful on my TV. They fit the screen perfectly5. There are tons of actual FREE apps for movies, TV shows, live TV and more. And yes ALL FREE NEVER CHARGE.Plain and simple this is the best alternative to cable ever. I'm saving 150 dollars a month just using the fire stick. Yes I have a netflixs account and Disney plus I pay for. But I have everything else absolutely FREE. This will NOT DISAPPOINT anyone.Set up is super easy and fast, just plug and play.

  
"
1.0 out of 5 stars,"









  
  
    
  This thing is a stupid piece of junk.I bought it because amazon is trash, and I can no longer watch twitch on my roku. So I had to get this thing to watch my dumb speedruns.It's absolutely garbage. Freezes constantly, and isn't smart enough to restart or go to a screen saver (it has screen savers, it just doesn't use them?)I'm basically only using it for twitch, which is owned by Amazon, I would kind of understand if it was struggling with a different service, but it feels like if it worked with anything, it would be twitch.It also only autodetects/outputs at one(?) resolution, so if you'd like to hook it up to an older tv, it will give you a hard time there. Probably not an issue for most people, but we have a 1080i TV in the kitchen.Obviously if you want to use it for twitch, you're stuck with this stupid garbage machine, but if you're using it for Netflix/Hulu/other, I think the Roku is better in every possible way (and probably spying on you slightly less).

  
"
5.0 out of 5 stars,"









  
  
    
  This FS Lite is amazing! As fast as a 4K stick! The rom expansion is 10x easier, no annoying ADB Shell to deal with, just plug-n-play the hardware and within 1 minute it formats and is done. Alexa is functional. The 1080 streams are crisp and clear.  You will never find a better streamer for under $30. I run a Shield Pro and Tivo 4K, and will keep this FS Lite in the arsenal. I have nothing negative to say about it. Good job Amazon!

  
"
5.0 out of 5 stars,"









  
  
    
  I wanted to write a review to outline how/what we used this for.  We have a older Vizio flat screen TV in a workout room.  We wanted to bring up the Peloton app to access workouts on the TV rather than streaming them on an iPad.  This device gave us exactly what we needed.  While I can access Prime Video, Netflix, etc, we were able to pull up Peloton and it works like a charm.  If you are looking for a simple streaming device for a good price, this works great.

  
"
1.0 out of 5 stars,"









  
  
    
  Update: Buyer beware!!!Here’s the problem. There was no instructions in regards to the TV possibly turning black because of the fire stick anywhere that I read in the box it came in. I did not know this was an issue and after 45 minutes of trying to get my living room TV working I thought it was broken. I then purchased and replaced that TV and moved the fire stick to a bedroom where the same issue kept occurring, prompting me to do some research only to find on the internet it was the fire stick causing the issue. I find it quite unprofessional for Amazon, a billion dollar company, to not disclose such problems. I live on disability and buying a new TV took money from me buying food and necessities for the month.

  
"
4.0 out of 5 stars,"









  
  
    
  The initial setup process was kind of a hassle. My fire stick lite would not immediately display on my TV. I eventually got it up after many cable repositionings and power cycles of my tv. At this time the device was in Spanish and halfway through setup mode. Luckily I can read Spanish quite well so I progressed through the prompts and got to settings to change the language. Oddly though it only changed it for half my menu options, as you can see in my picture. I had to reset the device and then got all the prompts that I was missing from before. This time it was all in English.When setting up my apps, I found it annoying that I cannot delete certain apps or remove them as an option. This is going into a guest room so I really didn’t want to leave the photos app on there for people to browse. Instead I set up parental controls and luckily from there you can restrict access to the app. Functionality is otherwise easy. Kid friendly remote. Great price point at the $17 sale. Glad my stupid tv can now be smart.

  
"
1.0 out of 5 stars,"









  
  
    
  Update Jan 15, 2021: Dolby Atmos for prime video is still not working even after the Fire TV Stick Lite software was updated to the new redesigned Fire TV interface. Fire OS 7.2.2.8 latest as of 1-15-20210. Fire TV Home Version 6300182.1.Bought this since my Fire Cube TV 2 does not do Dolby Atmos for prime video at 1080p. I use a Sony 1080p projector with amazing picture quality, not willing to pay $5,000-$20,000 to upgrade to Sony 4K projector yet. The Fire TV Stick Lite advertises having HDMI pass-through for Dolby Atmos Audio but Dolby Atmos is not working on Denon AVR X6700H 2020 model. (Playing Jack Ryan S2 on prime video app)Please report this bug to the Fire TV R&D & QA team!Additional bugs to report:Adjust Video frame rate stops working, FTV gets stuck at 1080p60 . (Settings>Display & Sounds>Display>Video Resolution> Auto).Best Available sound stops working, FTV sets it to PCM stereo from DD+ 5.1 (Settings>Display & Sounds>Audio>Surround Sound>Best Available)Signal path: Fire TV Stick Lite 2020 model -> Denon AVR X6700H 2020 model -> Sony Projector VPLHW45ES HD 1080pAmazon Fire TV R&D and/or QA feel free to contact me for further details.Please fix this as soon as possible.Fire OS 7.2.2.3 latest as of 11-9-2020. Fire TV Home Version 6241047.1

  
"
2.0 out of 5 stars,"









  
  
    
  This stick has a learning curve as far as the eye can see.  (Amazon did offer some help, after 5 minutes getting to the right person, but I'd already spent a couple hours setting the stick up and trying to figure things out on my own.)You can get some content ""for free"".  (In my experience, you should expect to sit thru multiple ads throughout the program.)  Or you can put out more money to get content, some of which may be worth your time to watch.I feel like I purchased an advertising tool.  I get ads for the services & I pay for the services, or I use ""free"" services and watch ads.  Stick gets you coming and going.

  
"
